id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53416501,Raise Athens Metro Apartment 32,29885761,Raise Team,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95112,23.73752,Entire home/apt,49,1,1,2022-03-29,0.17,53,320,1,00001378399
10993,Athens Quality Apartments - Studio,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,60,1,87,2022-06-13,0.72,7,165,19,00000957080
23106300,V & A ATHENS APARTMENT,171665449,Anna,,ΓΟΥΔΙ,37.98105,23.76913,Entire home/apt,45,2,96,2022-09-14,1.73,1,350,31,00000011296
42707997,Penthouse near metro station,311438517,Alican,,ΠΕΤΡΑΛΩΝΑ,37.9604,23.70062,Entire home/apt,102,1,0,,,1,365,0,
714154485008704820,Shiny Athenian Apt 650m from Megaron MetroStation,23684082,Dimitrios,,ΓΟΥΔΙ,37.97955779999999,23.7592666,Entire home/apt,40,10,0,,,1,87,0,00001763428
52858401,Κεντρικό για ευκολία και ταυτόχρονα ήσυχο μερος,228181276,Χρυσα,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94921,23.7029,Entire home/apt,60,2,0,,,2,365,0,Exempt
33907725,"Cozy, charming, fully renovated studio apartment",256051824,George,,ΙΛΙΣΙΑ,37.97775,23.76135,Entire home/apt,32,10,21,2022-08-21,0.52,1,177,5,00000659459
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,75,1,29,2022-04-02,0.20,7,146,5,00000957422
37098651,Cosy apartment in Kallithea-Athens,264968808,Dimitris,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95556,23.71026,Entire home/apt,35,2,4,2020-01-13,0.10,1,19,0,00000808593
646306315531574089,GR - FILOXENIA MODERN HOUSE,463571584,Σεβαστη,,ΠΑΓΚΡΑΤΙ,37.9628209,23.7500554,Entire home/apt,53,1,13,2022-09-19,4.29,1,357,13,00001602798
42164264,Charming and Comfortable Nea Smyrni Apartment,333335574,Lampros,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95156,23.70942,Entire home/apt,30,5,10,2020-09-29,0.32,1,263,0,00000947571
26620345,"Island In The Sky,  Acropolis and City Views!",200125379,Kostas,,ΙΛΙΣΙΑ,37.9785,23.75735,Entire home/apt,61,2,164,2022-09-02,3.21,2,352,26,00000198134
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,75,1,19,2022-06-20,0.16,7,126,2,00000957579
