,id,neighbourhood_cleansed,reviews_per_month,room_type
9243,51835618,ΚΟΛΩΝΑΚΙ,0.59,Entire home/apt
9244,51836311,ΓΚΑΖΙ,1.33,Entire home/apt
9245,51836680,ΘΗΣΕΙΟ,1.61,Entire home/apt
9246,51836922,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.81,Entire home/apt
9247,51837446,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Entire home/apt
9248,51839436,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9249,51840087,ΘΗΣΕΙΟ,2.0,Entire home/apt
9250,51846452,ΝΕΟΣ ΚΟΣΜΟΣ,0.0,Entire home/apt
9251,51851898,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Shared room
9252,51852068,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Shared room
9253,51852130,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Shared room
9254,51852169,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.71,Shared room
9255,51852203,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Shared room
9256,51852241,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2.0,Shared room
9257,51852747,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9258,51853157,ΝΕΟΣ ΚΟΣΜΟΣ,5.14,Entire home/apt
9259,51855748,ΝΕΟΣ ΚΟΣΜΟΣ,3.43,Entire home/apt
9260,51858029,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9261,51858215,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9262,51858648,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9263,51858772,ΑΚΡΟΠΟΛΗ,0.0,Entire home/apt
9264,51890660,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9265,51896421,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9266,51897000,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.77,Private room
9267,51897269,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9268,51897408,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9269,51914114,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2.88,Entire home/apt
9270,51915675,ΑΝΩ ΚΥΨΕΛΗ,0.0,Entire home/apt
9271,51917383,ΝΕΟΣ ΚΟΣΜΟΣ,2.0,Entire home/apt
9272,51918413,ΠΑΓΚΡΑΤΙ,1.0,Entire home/apt
9273,51920342,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.0,Entire home/apt
9274,51958677,ΓΟΥΔΙ,2.0,Entire home/apt
9275,51970544,ΝΕΟΣ ΚΟΣΜΟΣ,1.43,Entire home/apt
9276,51970661,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.77,Shared room
9277,51970740,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Shared room
9278,51970771,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.71,Shared room
9279,51973841,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.0,Entire home/apt
9280,51974764,ΑΜΠΕΛΟΚΗΠΟΙ,0.0,Entire home/apt
9281,51975397,ΑΚΡΟΠΟΛΗ,0.0,Entire home/apt
9282,51976358,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,0.0,Entire home/apt
9283,51977243,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3.66,Entire home/apt
9284,52008615,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,3.08,Entire home/apt
